ID,Restaurant,City,Area,Cuisine,Rating,Cost,Veg,Delivery,Address,Phone,Timings,Menu,Description,Popular_Dishes,Popularity,Image
64,Willow Social,Chandigarh,Sector 7,Chinese,4.6,650,No,No,"SCO 113, Sector 7, Chandigarh, Punjab",+91 9883371842,8 AM - 10:30 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Sector 7, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,65,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
65,Urban Social,Mohali,Phase 5,South Indian,4.1,1200,Yes,Yes,"SCO 258, Phase 5, Mohali, Punjab",+91 9878598273,12 PM - 12 AM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Phase 5, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,60,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
66,Cedar Social,Panchkula,MDC Sector 4,Punjabi,4.7,800,Yes,Yes,"SCO 66, MDC Sector 4, Panchkula, Punjab",+91 9813604560,8 AM - 10:30 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,71,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
67,Mango Social,Chandigarh,Sector 22,Continental,4.3,2200,Yes,No,"SCO 222, Sector 22, Chandigarh, Punjab",+91 9871318911,9 AM - 11 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 22, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,64,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
68,Mint Social,Mohali,Sector 70,Asian,4.5,1500,No,Yes,"SCO 232, Sector 70, Mohali, Punjab",+91 9841545785,11 AM - 11:30 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Sector 70, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,72,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
69,Blue Social,Panchkula,Sector 11,Bakery,4.7,1900,Yes,No,"SCO 266, Sector 11, Panchkula, Punjab",+91 9865361440,11 AM - 11:30 PM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,81,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
70,Curry Social,Chandigarh,Sector 43,Fast Food,3.9,1500,Yes,Yes,"SCO 171, Sector 43, Chandigarh, Punjab",+91 9848024167,11 AM - 11:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Sector 43, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,71,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
71,Basil Social,Mohali,Phase 3B2,North Indian,4.4,2150,Yes,Yes,"SCO 233, Phase 3B2, Mohali, Punjab",+91 9812981548,8 AM - 10:30 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Phase 3B2, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,61,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
72,Roast Social,Panchkula,MDC Sector 4,Cafe,4.1,1650,Yes,Yes,"SCO 308, MDC Sector 4, Panchkula, Punjab",+91 9882988546,12 PM - 12 AM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,92,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
73,Amber Social,Chandigarh,Sector 17,Italian,4.9,2000,Yes,Yes,"SCO 283, Sector 17, Chandigarh, Punjab",+91 9827197631,9 AM - 11 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 17, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,60,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
74,Maple Social,Mohali,Phase 10,Chinese,4.6,1350,No,Yes,"SCO 123, Phase 10, Mohali, Punjab",+91 9855696198,8 AM - 10:30 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Phase 10, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,73,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
75,Pine Social,Panchkula,Sector 11,South Indian,4.1,900,Yes,Yes,"SCO 341, Sector 11, Panchkula, Punjab",+91 9830710033,9 AM - 11 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,74,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
76,Olive House,Chandigarh,Sector 35,Punjabi,4.7,1250,Yes,Yes,"SCO 280, Sector 35, Chandigarh, Punjab",+91 9868173577,12 PM - 12 AM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Sector 35, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,66,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
77,Copper House,Mohali,Airport Road,Continental,3.9,1100,Yes,Yes,"SCO 289, Airport Road, Mohali, Punjab",+91 9850338239,9 AM - 11 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Airport Road, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,82,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
78,Saffron House,Panchkula,MDC Sector 4,Asian,3.9,1500,Yes,Yes,"SCO 70, MDC Sector 4, Panchkula, Punjab",+91 9829806974,11 AM - 11:30 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,64,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
79,Willow House,Chandigarh,Sector 9,Bakery,4.6,800,Yes,No,"SCO 131, Sector 9, Chandigarh, Punjab",+91 9859034319,8 AM - 10:30 PM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 9, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,91,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
80,Urban House,Mohali,Phase 7,Fast Food,4.4,2350,No,Yes,"SCO 236, Phase 7, Mohali, Punjab",+91 9896261616,11 AM - 11:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Phase 7, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,97,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
81,Cedar House,Panchkula,Sector 11,North Indian,4.2,1550,No,Yes,"SCO 200, Sector 11, Panchkula, Punjab",+91 9884073768,9 AM - 11 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,81,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
82,Mango House,Chandigarh,Sector 26,Cafe,4.2,1450,Yes,Yes,"SCO 25, Sector 26, Chandigarh, Punjab",+91 9826686228,9 AM - 11 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Sector 26, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,66,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
83,Mint House,Mohali,Sector 79,Italian,4.2,1550,No,No,"SCO 267, Sector 79, Mohali, Punjab",+91 9878707627,11 AM - 11:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 79, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,93,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
84,Blue House,Panchkula,MDC Sector 4,Chinese,4.0,2350,Yes,Yes,"SCO 27, MDC Sector 4, Panchkula, Punjab",+91 9843308637,8 AM - 10:30 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,98,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
85,Curry House,Chandigarh,Sector 7,South Indian,4.3,1450,Yes,No,"SCO 188, Sector 7, Chandigarh, Punjab",+91 9863328601,11 AM - 11:30 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 7, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,69,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
86,Basil House,Mohali,Phase 5,Punjabi,4.8,1600,Yes,Yes,"SCO 255, Phase 5, Mohali, Punjab",+91 9893989808,12 PM - 12 AM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Phase 5, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,97,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
87,Roast House,Panchkula,Sector 11,Continental,4.5,450,Yes,Yes,"SCO 168, Sector 11, Panchkula, Punjab",+91 9819369647,8 AM - 10:30 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,95,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
88,Amber House,Chandigarh,Sector 22,Asian,4.2,2150,No,Yes,"SCO 76, Sector 22, Chandigarh, Punjab",+91 9853765105,9 AM - 11 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Sector 22, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,67,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
89,Maple House,Mohali,Sector 70,Bakery,4.2,400,Yes,Yes,"SCO 19, Sector 70, Mohali, Punjab",+91 9839680241,11 AM - 11:30 PM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 70, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,86,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
90,Pine House,Panchkula,MDC Sector 4,Fast Food,3.9,550,Yes,No,"SCO 193, MDC Sector 4, Panchkula, Punjab",+91 9837718920,9 AM - 11 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,70,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
91,Olive Grill,Chandigarh,Sector 43,North Indian,4.7,800,No,Yes,"SCO 197, Sector 43, Chandigarh, Punjab",+91 9896453290,11 AM - 11:30 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 43, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,73,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
92,Copper Grill,Mohali,Phase 3B2,Cafe,4.4,800,Yes,Yes,"SCO 233, Phase 3B2, Mohali, Punjab",+91 9876334359,12 PM - 12 AM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Phase 3B2, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,68,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
93,Saffron Grill,Panchkula,Sector 11,Italian,3.9,850,Yes,Yes,"SCO 147, Sector 11, Panchkula, Punjab",+91 9875690789,12 PM - 12 AM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,80,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
94,Willow Grill,Chandigarh,Sector 17,Chinese,4.0,2050,No,Yes,"SCO 21, Sector 17, Chandigarh, Punjab",+91 9826932069,11 AM - 11:30 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Sector 17, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,85,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
95,Urban Grill,Mohali,Phase 10,South Indian,3.8,2150,Yes,Yes,"SCO 150, Phase 10, Mohali, Punjab",+91 9858064616,8 AM - 10:30 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Phase 10, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,60,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
96,Cedar Grill,Panchkula,MDC Sector 4,Punjabi,3.9,950,Yes,Yes,"SCO 280, MDC Sector 4, Panchkula, Punjab",+91 9871711201,12 PM - 12 AM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,73,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
97,Mango Grill,Chandigarh,Sector 35,Continental,3.8,2200,Yes,Yes,"SCO 193, Sector 35, Chandigarh, Punjab",+91 9879227678,8 AM - 10:30 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 35, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,88,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
98,Mint Grill,Mohali,Airport Road,Asian,4.0,600,No,No,"SCO 189, Airport Road, Mohali, Punjab",+91 9882761972,11 AM - 11:30 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Airport Road, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,69,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
99,Blue Grill,Panchkula,Sector 11,Bakery,4.3,2250,Yes,No,"SCO 279, Sector 11, Panchkula, Punjab",+91 9883639887,12 PM - 12 AM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,84,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
100,Curry Grill,Chandigarh,Sector 9,Fast Food,4.7,1150,No,Yes,"SCO 273, Sector 9, Chandigarh, Punjab",+91 9812089402,12 PM - 12 AM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Sector 9, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,76,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
101,Basil Grill,Mohali,Phase 7,North Indian,4.5,2000,Yes,No,"SCO 81, Phase 7, Mohali, Punjab",+91 9874901483,9 AM - 11 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Phase 7, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,70,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
102,Roast Grill,Panchkula,MDC Sector 4,Cafe,4.5,1550,Yes,Yes,"SCO 169, MDC Sector 4, Panchkula, Punjab",+91 9860387360,12 PM - 12 AM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,65,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
103,Amber Grill,Chandigarh,Sector 26,Italian,3.9,2050,No,Yes,"SCO 330, Sector 26, Chandigarh, Punjab",+91 9821123683,12 PM - 12 AM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 26, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,62,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
104,Maple Grill,Mohali,Sector 79,Chinese,4.1,1150,Yes,No,"SCO 302, Sector 79, Mohali, Punjab",+91 9850680451,12 PM - 12 AM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Sector 79, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,64,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
105,Pine Grill,Panchkula,Sector 11,South Indian,4.7,650,Yes,No,"SCO 153, Sector 11, Panchkula, Punjab",+91 9851827377,8 AM - 10:30 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,93,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
106,Olive Corner,Chandigarh,Sector 7,Punjabi,4.8,500,Yes,Yes,"SCO 130, Sector 7, Chandigarh, Punjab",+91 9833950548,12 PM - 12 AM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Sector 7, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,87,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
107,Copper Corner,Mohali,Phase 5,Continental,4.5,650,No,Yes,"SCO 96, Phase 5, Mohali, Punjab",+91 9820148458,8 AM - 10:30 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Phase 5, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,83,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
108,Saffron Corner,Panchkula,MDC Sector 4,Asian,4.2,550,No,Yes,"SCO 121, MDC Sector 4, Panchkula, Punjab",+91 9812945883,9 AM - 11 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,87,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
109,Willow Corner,Chandigarh,Sector 22,Bakery,4.4,1450,Yes,Yes,"SCO 178, Sector 22, Chandigarh, Punjab",+91 9880047555,12 PM - 12 AM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Sector 22, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,64,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
110,Urban Corner,Mohali,Sector 70,Fast Food,4.2,1350,No,Yes,"SCO 218, Sector 70, Mohali, Punjab",+91 9871179760,8 AM - 10:30 PM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in Sector 70, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,72,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
111,Cedar Corner,Panchkula,Sector 11,North Indian,4.3,2100,No,Yes,"SCO 283, Sector 11, Panchkula, Punjab",+91 9850820881,12 PM - 12 AM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,88,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
112,Mango Corner,Chandigarh,Sector 43,Cafe,4.4,1900,Yes,Yes,"SCO 66, Sector 43, Chandigarh, Punjab",+91 9880148495,9 AM - 11 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Sector 43, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,82,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
113,Mint Corner,Mohali,Phase 3B2,Italian,4.0,2350,Yes,Yes,"SCO 199, Phase 3B2, Mohali, Punjab",+91 9874075326,11 AM - 11:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Phase 3B2, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,91,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
114,Blue Corner,Panchkula,MDC Sector 4,Chinese,4.5,1950,No,Yes,"SCO 104, MDC Sector 4, Panchkula, Punjab",+91 9821766383,8 AM - 10:30 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,69,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
115,Curry Corner,Chandigarh,Sector 17,South Indian,4.6,2400,Yes,No,"SCO 207, Sector 17, Chandigarh, Punjab",+91 9820628557,9 AM - 11 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 17, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,85,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
116,Basil Corner,Mohali,Phase 10,Punjabi,4.9,2200,Yes,Yes,"SCO 299, Phase 10, Mohali, Punjab",+91 9835977254,11 AM - 11:30 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in Phase 10, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,97,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
117,Roast Corner,Panchkula,Sector 11,Continental,3.9,950,No,Yes,"SCO 326, Sector 11, Panchkula, Punjab",+91 9834149031,8 AM - 10:30 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,68,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
118,Amber Corner,Chandigarh,Sector 35,Asian,4.1,600,No,Yes,"SCO 80, Sector 35, Chandigarh, Punjab",+91 9824348242,11 AM - 11:30 PM,"Sushi, Thai curry, ramen, bowls","A well-loved asian destination in Sector 35, known for relaxed service, fresh flavours, and an inviting setting.",Sushi Roll; Thai Curry; Ramen,73,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
119,Maple Corner,Mohali,Airport Road,Bakery,4.2,900,Yes,No,"SCO 99, Airport Road, Mohali, Punjab",+91 9864939493,9 AM - 11 PM,"Cakes, pastries, breads, coffee","A well-loved bakery destination in Airport Road, known for relaxed service, fresh flavours, and an inviting setting.",Sourdough; Red Velvet Cake; Croissant,89,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
120,Pine Corner,Panchkula,MDC Sector 4,Fast Food,4.3,900,No,Yes,"SCO 110, MDC Sector 4, Panchkula, Punjab",+91 9864274556,12 PM - 12 AM,"Burgers, wraps, fries, shakes","A well-loved fast food destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Loaded Burger; Peri Peri Fries; Wrap,87,https://images.unsplash.com/photo-1513104890138-7c749659a591?auto=format&fit=crop&w=900&q=80
121,Olive Stories,Chandigarh,Sector 9,North Indian,3.9,950,No,Yes,"SCO 14, Sector 9, Chandigarh, Punjab",+91 9895848062,11 AM - 11:30 PM,"Curries, kebabs, biryani, breads","A well-loved north indian destination in Sector 9, known for relaxed service, fresh flavours, and an inviting setting.",Butter Chicken; Dal Makhani; Tandoori Platter,82,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=900&q=80
122,Copper Stories,Mohali,Phase 7,Cafe,4.5,1650,Yes,No,"SCO 257, Phase 7, Mohali, Punjab",+91 9839097555,11 AM - 11:30 PM,"Coffee, breakfast bowls, sandwiches, desserts","A well-loved cafe destination in Phase 7, known for relaxed service, fresh flavours, and an inviting setting.",Cold Brew; Avocado Toast; Pancake Stack,63,https://images.unsplash.com/photo-1555396273-367ea4eb4db5?auto=format&fit=crop&w=900&q=80
123,Saffron Stories,Panchkula,Sector 11,Italian,4.5,450,Yes,Yes,"SCO 54, Sector 11, Panchkula, Punjab",+91 9880993158,11 AM - 11:30 PM,"Pizza, pasta, risotto, desserts","A well-loved italian destination in Sector 11, known for relaxed service, fresh flavours, and an inviting setting.",Truffle Pasta; Burrata Pizza; Tiramisu,75,https://images.unsplash.com/photo-1414235077428-338989a2e8c0?auto=format&fit=crop&w=900&q=80
124,Willow Stories,Chandigarh,Sector 26,Chinese,4.6,1000,Yes,Yes,"SCO 198, Sector 26, Chandigarh, Punjab",+91 9841770128,11 AM - 11:30 PM,"Noodles, dimsum, stir-fry, soups","A well-loved chinese destination in Sector 26, known for relaxed service, fresh flavours, and an inviting setting.",Chilli Paneer; Dimsum; Hakka Noodles,99,https://images.unsplash.com/photo-1514933651103-005eec06c04b?auto=format&fit=crop&w=900&q=80
125,Urban Stories,Mohali,Sector 79,South Indian,3.9,1700,Yes,No,"SCO 285, Sector 79, Mohali, Punjab",+91 9832584970,11 AM - 11:30 PM,"Dosa, idli, vada, coffee","A well-loved south indian destination in Sector 79, known for relaxed service, fresh flavours, and an inviting setting.",Masala Dosa; Mini Idli; Filter Coffee,80,https://images.unsplash.com/photo-1445116572660-236099ec97a0?auto=format&fit=crop&w=900&q=80
126,Cedar Stories,Panchkula,MDC Sector 4,Punjabi,4.6,750,Yes,Yes,"SCO 18, MDC Sector 4, Panchkula, Punjab",+91 9818676215,9 AM - 11 PM,"Thalis, curries, breads, desserts","A well-loved punjabi destination in MDC Sector 4, known for relaxed service, fresh flavours, and an inviting setting.",Amritsari Kulcha; Chole; Lassi,86,https://images.unsplash.com/photo-1565557623262-b51c2513a641?auto=format&fit=crop&w=900&q=80
127,Mango Stories,Chandigarh,Sector 7,Continental,4.5,2250,Yes,Yes,"SCO 324, Sector 7, Chandigarh, Punjab",+91 9895594468,9 AM - 11 PM,"Salads, grills, pasta, desserts","A well-loved continental destination in Sector 7, known for relaxed service, fresh flavours, and an inviting setting.",Grilled Chicken; Caesar Salad; Chocolate Fondant,63,https://images.unsplash.com/photo-1515003197210-e0cd71810b5f?auto=format&fit=crop&w=900&q=80
